Profesional,EP,Contexto,Method Class,Metodo,Instrumento,Estandar,Metodo anterior,Metodo mapeado
Psychologists / Psychiatrists,EP-02,,Testing,Case-based testing,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Psychologists / Psychiatrists,EP-02,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Psychologists / Psychiatrists,EP-02,,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Psychologists / Psychiatrists,EP-02,,Inquiry,Questionnaires,Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-04,Hospitals,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-210 (User-Centered Design)",User-based usability measurement,Sí
Physicians,EP-04,Hospitals,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-210 (User-Centered Design)",User-based usability measurement,Sí
Physicians,EP-09,,Testing,Case-based testing,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-09,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-09,,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-09,,Inquiry,Questionnaires,Surveys and questionnaires,,User-based usability measurement,Sí
Students,EP-10,,Testing,Case-based testing,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-10,,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-10,,Testing,Case-based testing,Standardized usability,,User-based usability measurement,Sí
Students,EP-10,,Inquiry,Questionnaires,Standardized usability,,User-based usability measurement,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Nurses,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Nurses,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Nurses,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Standardized usability scales,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Estándares clínicos / médicos - College of American Pathologists (CAP) cancer protocol,Expert inspection,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62304 (ciclo de vida de software médico)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - IEC 62366 (usabilidad para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 13485 (QMS para dispositivos médicos)",Expert inspection,Sí
Physicians,EP-13,,Inspection,Cognitive walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Physicians,EP-13,,Inspection,Talk-based walkthrough,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Physicians,EP-13,,Inquiry,SUS system usability scale,Standardized usability,Regulaciones legales - Medical Device Regulation (EU MDR 2017/745),Expert inspection,Sí
Physicians,EP-14,Hospitals,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-14,Hospitals,Inquiry,Questionnaires,Observation and testing,,Usability perception questionnaires/interviews,Sí
Physicians,EP-15,Hospitals,Testing,Think-aloud,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Usability perception questionnaires/interviews,Sí
Physicians,EP-15,Hospitals,Inspection,Heuristic evaluation,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Usability perception questionnaires/interviews,Sí
Physicians,EP-15,Hospitals,Inquiry,Questionnaires,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Usability perception questionnaires/interviews,Sí
Physicians,EP-15,Hospitals,Testing,Think-aloud,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Expert inspection,Sí
Physicians,EP-15,Hospitals,Inspection,Heuristic evaluation,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Expert inspection,Sí
Physicians,EP-15,Hospitals,Inquiry,Questionnaires,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",Expert inspection,Sí
Physicians,EP-15,Hospitals,Testing,Think-aloud,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",User-based usability measurement,Sí
Physicians,EP-15,Hospitals,Inspection,Heuristic evaluation,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",User-based usability measurement,Sí
Physicians,EP-15,Hospitals,Inquiry,Questionnaires,Surveys and questionnaires,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO 9241-11 (definición ISO de usabilidad)",User-based usability measurement,Sí
Physicians,EP-18,Hospitals,Testing,Case-based testing,Clinical,,Usability perception questionnaires/interviews,Sí
Physicians,EP-18,Hospitals,Inquiry,Questionnaires,Clinical,,Usability perception questionnaires/interviews,Sí
Physicians,EP-18,Hospitals,Testing,Case-based testing,Clinical,,User-based usability measurement,Sí
Physicians,EP-18,Hospitals,Inquiry,Questionnaires,Clinical,,User-based usability measurement,Sí
Students,EP-19,,Testing,Case-based testing,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Testing,Case-based testing,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Students,EP-19,,Testing,Case-based testing,Discourse-based methods,,Controlled experiments,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,Controlled experiments,Sí
Students,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,Controlled experiments,Sí
Students,EP-19,,Testing,Case-based testing,Standardized usability,,Controlled experiments,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,Controlled experiments,Sí
Students,EP-19,,Inquiry,Questionnaires,Standardized usability,,Controlled experiments,Sí
Students,EP-19,,Testing,Case-based testing,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-19,,Testing,Case-based testing,Standardized usability,,User-based usability measurement,Sí
Students,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,User-based usability measurement,Sí
Students,EP-19,,Inquiry,Questionnaires,Standardized usability,,User-based usability measurement,Sí
Physicians,EP-19,,Testing,Case-based testing,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Testing,Case-based testing,Standardized usability,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Physicians,EP-19,,Testing,Case-based testing,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-19,,Testing,Case-based testing,Standardized usability,,Controlled experiments,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,Controlled experiments,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Standardized usability,,Controlled experiments,Sí
Physicians,EP-19,,Testing,Case-based testing,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-19,,Testing,Case-based testing,Standardized usability,,User-based usability measurement,Sí
Physicians,EP-19,,Testing,Randomized Controlled Trial,Standardized usability,,User-based usability measurement,Sí
Physicians,EP-19,,Inquiry,Questionnaires,Standardized usability,,User-based usability measurement,Sí
Students,EP-20,,Testing,Think-aloud,Discourse-based methods,,Qualitative analyses,Sí
Students,EP-20,,Testing,Case-based testing,Discourse-based methods,,Qualitative analyses,Sí
Students,EP-20,,Testing,Observation / Shadowing,Discourse-based methods,,Qualitative analyses,Sí
Students,EP-20,,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Students,EP-20,,Testing,Think-aloud,Observation and testing,,Qualitative analyses,Sí
Students,EP-20,,Testing,Case-based testing,Observation and testing,,Qualitative analyses,Sí
Students,EP-20,,Testing,Observation / Shadowing,Observation and testing,,Qualitative analyses,Sí
Students,EP-20,,Inquiry,Semi-structured interviews,Observation and testing,,Qualitative analyses,Sí
Students,EP-20,,Testing,Think-aloud,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-20,,Testing,Case-based testing,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-20,,Testing,Observation / Shadowing,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-20,,Inquiry,Semi-structured interviews,Discourse-based methods,,User-based usability measurement,Sí
Students,EP-20,,Testing,Think-aloud,Observation and testing,,User-based usability measurement,Sí
Students,EP-20,,Testing,Case-based testing,Observation and testing,,User-based usability measurement,Sí
Students,EP-20,,Testing,Observation / Shadowing,Observation and testing,,User-based usability measurement,Sí
Students,EP-20,,Inquiry,Semi-structured interviews,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Think-aloud,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Case-based testing,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Observation / Shadowing,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-20,,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Think-aloud,Observation and testing,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Case-based testing,Observation and testing,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Observation / Shadowing,Observation and testing,,Qualitative analyses,Sí
Physicians,EP-20,,Inquiry,Semi-structured interviews,Observation and testing,,Qualitative analyses,Sí
Physicians,EP-20,,Testing,Think-aloud,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Case-based testing,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Observation / Shadowing,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-20,,Inquiry,Semi-structured interviews,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Think-aloud,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Case-based testing,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-20,,Testing,Observation / Shadowing,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-20,,Inquiry,Semi-structured interviews,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-22,,Inquiry,Thematic analysis of experiences,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-22,,Inquiry,Thematic analysis of experiences,Discourse-based methods,,Qualitative analyses,Sí
Nurses,EP-23,,Inquiry,Thematic analysis of experiences,Standardized usability,,Qualitative analyses,Sí
Physicians,EP-23,,Inquiry,Thematic analysis of experiences,Standardized usability,,Qualitative analyses,Sí
Physicians,EP-24,,Testing,Think-aloud,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-24,,Testing,Formative evaluation,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-24,,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-24,,Testing,Think-aloud,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-24,,Testing,Formative evaluation,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-24,,Inquiry,Semi-structured interviews,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-24,,Testing,Think-aloud,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-24,,Testing,Formative evaluation,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-24,,Inquiry,Semi-structured interviews,Discourse-based methods,,User-based usability measurement,Sí
Pharmacists,EP-25,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Discourse-based methods,,,No
Physicians,EP-25,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Discourse-based methods,,,No
Practice professionals,EP-25,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Discourse-based methods,,,No
Nurses,EP-26,,Testing,Case-based testing,Explainability and ML validation,,User-based usability measurement,Sí
Physicians,EP-26,,Testing,Case-based testing,Explainability and ML validation,,User-based usability measurement,Sí
Paramedics,EP-26,,Testing,Case-based testing,Explainability and ML validation,,User-based usability measurement,Sí
Physicians,EP-27,Medical institutes,Testing,Case-based testing,Clinical,,User-based usability measurement,Sí
Physicians,EP-27,Medical institutes,Testing,Case-based testing,Observation and testing,,User-based usability measurement,Sí
Practice professionals,EP-27,Medical institutes,Testing,Case-based testing,Clinical,,User-based usability measurement,Sí
Practice professionals,EP-27,Medical institutes,Testing,Case-based testing,Observation and testing,,User-based usability measurement,Sí
Physicians,EP-28,,Inspection,Heuristic evaluation,Discourse-based methods,,Expert inspection,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Observation and testing,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Observation and testing,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Observation and testing,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Observation and testing,,Usability perception questionnaires/interviews,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Surveys and questionnaires,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Surveys and questionnaires,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Surveys and questionnaires,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Surveys and questionnaires,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Discourse-based methods,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Testing,Iterative evaluation,Observation and testing,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Testing,Formative evaluation,Observation and testing,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Questionnaires,Observation and testing,,Process evaluations,Sí
Physicians,EP-31,Medical centers,Inquiry,Paired survey,Observation and testing,,Process evaluations,Sí
Nurses,EP-34,,Testing,Case-based testing,Surveys and questionnaires,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Explanations comparison,Surveys and questionnaires,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Cross-over/within-subject designs on interaction or explanations,Surveys and questionnaires,,Controlled experiments,Sí
Nurses,EP-34,,Inquiry,Escalas de satisfacción (Likert),Surveys and questionnaires,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Case-based testing,Observation and testing,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Explanations comparison,Observation and testing,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Cross-over/within-subject designs on interaction or explanations,Observation and testing,,Controlled experiments,Sí
Nurses,EP-34,,Inquiry,Escalas de satisfacción (Likert),Observation and testing,,Controlled experiments,Sí
Nurses,EP-34,,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Explanations comparison,Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Cross-over/within-subject designs on interaction or explanations,Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-34,,Inquiry,Escalas de satisfacción (Likert),Surveys and questionnaires,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Case-based testing,Observation and testing,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Explanations comparison,Observation and testing,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Cross-over/within-subject designs on interaction or explanations,Observation and testing,,User-based usability measurement,Sí
Nurses,EP-34,,Inquiry,Escalas de satisfacción (Likert),Observation and testing,,User-based usability measurement,Sí
Nurses,EP-34,,Testing,Case-based testing,Surveys and questionnaires,,Perception of explanations,Sí
Nurses,EP-34,,Testing,Explanations comparison,Surveys and questionnaires,,Perception of explanations,Sí
